name,idx,base_start,mult,d1,d2,pstart,pend,nlayovers,dtime,shour,mlegs,charter
202DAL10,64421,DAL,2,2025-02-10,2025-02-11,1739203500.0,1739334000.0,1,34500,10,3,False
141BUR10,64422,BUR,1,2025-02-10,2025-02-10,1739217000.0,1739249100.0,0,32100,11,4,False
106BUR11,64423,BUR,1,2025-02-11,2025-02-11,1739295600.0,1739325300.0,0,29700,9,4,False
760BUR11,64424,BUR,1,2025-02-11,2025-02-11,1739305200.0,1739339100.0,0,33900,12,4,False
654LAS11,64425,LAS,1,2025-02-11,2025-02-11,1739286600.0,1739318400.0,0,31800,7,4,False
472SCF11,64426,SCF,1,2025-02-11,2025-02-11,1739292600.0,1739324700.0,0,32100,9,4,False
280DAL11,64427,DAL,2,2025-02-11,2025-02-12,1739276100.0,1739420400.0,1,30300,6,3,False
490SCF11,64428,SCF,1,2025-02-11,2025-02-11,1739295900.0,1739330700.0,0,34800,10,4,False
109LAS11,64429,LAS,1,2025-02-11,2025-02-11,1739310600.0,1739338200.0,0,27600,13,4,False
171OAK11,64430,OAK,1,2025-02-11,2025-02-11,1739283300.0,1739316300.0,0,33000,6,4,False
177OAK11,64431,OAK,1,2025-02-11,2025-02-11,1739316600.0,1739334900.0,0,18300,15,2,False
322LAS11,64432,LAS,1,2025-02-11,2025-02-11,1739313600.0,1739329200.0,0,15600,14,2,False
290DAL11,64433,DAL,1,2025-02-11,2025-02-11,1739293200.0,1739326500.0,0,33300,11,4,False
176BUR11,64434,BUR,1,2025-02-11,2025-02-11,1739317800.0,1739335500.0,0,17700,15,2,False
101LAS11,64435,LAS,1,2025-02-11,2025-02-11,1739282400.0,1739313600.0,0,31200,6,4,False
400SCF11,64436,SCF,1,2025-02-11,2025-02-11,1739284200.0,1739316300.0,0,32100,7,4,False
654LAS12,64437,LAS,1,2025-02-12,2025-02-12,1739373000.0,1739404800.0,0,31800,7,4,False
177OAK12,64438,OAK,1,2025-02-12,2025-02-12,1739403000.0,1739421300.0,0,18300,15,2,False
290DAL12,64439,DAL,1,2025-02-12,2025-02-12,1739379600.0,1739412900.0,0,33300,11,4,False
760BUR12,64440,BUR,1,2025-02-12,2025-02-12,1739391600.0,1739412300.0,0,20700,12,2,False
101LAS12,64441,LAS,1,2025-02-12,2025-02-12,1739368800.0,1739400000.0,0,31200,6,4,False
171OAK12,64442,OAK,1,2025-02-12,2025-02-12,1739369700.0,1739402700.0,0,33000,6,4,False
108BUR12,64443,BUR,1,2025-02-12,2025-02-12,1739393700.0,1739425500.0,0,31800,12,4,False
472SCF12,64444,SCF,1,2025-02-12,2025-02-12,1739379000.0,1739411100.0,0,32100,9,4,False
490SCF12,64445,SCF,1,2025-02-12,2025-02-12,1739382300.0,1739417100.0,0,34800,10,4,False
322LAS12,64446,LAS,1,2025-02-12,2025-02-12,1739400000.0,1739415600.0,0,15600,14,2,False
170BUR12,64447,BUR,1,2025-02-12,2025-02-12,1739369700.0,1739397300.0,0,27600,6,4,False
176BUR12,64448,BUR,1,2025-02-12,2025-02-12,1739404200.0,1739421900.0,0,17700,15,2,False
